Codigo Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month
PRT;426;1432;10525;32909;5;2020;2020-5
ROU;619;1287;8014;19655;5;2020;2020-5
RUS;3946;4693;324894;405843;5;2020;2020-5
SMR;1;42;133;671;5;2020;2020-5
SRB;87;243;3370;11412;5;2020;2020-5
SVK;13;34;136;1499;5;2020;2020-5
SVN;23;113;70;1473;5;2020;2020-5
SWE;2064;4621;19793;38660;5;2020;2020-5
TUR;1735;4540;53812;163942;5;2020;2020-5
UKR;499;708;15055;23672;5;2020;2020-5
VAT;0;0;3;12;5;2020;2020-5
XKX;10;30;319;1083;5;2020;2020-5
ALB;22;55;1265;2402;6;2020;2020-6
AND;1;52;91;855;6;2020;2020-6
ARM;294;433;15635;25127;6;2020;2020-6
AUT;36;731;982;17635;6;2020;2020-6
AZE;135;198;10930;16424;6;2020;2020-6
BEL;246;9569;2793;63683;6;2020;2020-6
BGR;76;216;2112;4625;6;2020;2020-6
BIH;30;183;1696;4206;6;2020;2020-6
BLR;148;383;18919;61475;6;2020;2020-6
CHE;25;1681;755;31534;6;2020;2020-6
CYP;3;29;49;1000;6;2020;2020-6
CZE;28;346;2347;11650;6;2020;2020-6
DEU;304;9083;12046;194080;6;2020;2020-6
DNK;30;213;1044;13014;6;2020;2020-6
ESP;583;29754;9964;256611;6;2020;2020-6
EST;2;137;120;7232;6;2020;2020-6
FIN;12;325;228;6868;6;2020;2020-6
FRA;885;19403;13588;160268;6;2020;2020-6
FRO;0;0;0;187;6;2020;2020-6
GBR;2434;40653;26988;283430;6;2020;2020-6
GEO;3;15;143;926;6;2020;2020-6
GGY;0;13;0;252;6;2020;2020-6
GIB;0;0;8;177;6;2020;2020-6
GRC;12;191;488;3449;6;2020;2020-6
HRV;4;107;445;2684;6;2020;2020-6
HUN;57;585;258;4145;6;2020;2020-6
IMN;0;24;0;336;6;2020;2020-6
IRL;64;1486;447;25412;6;2020;2020-6
ISL;0;10;14;1834;6;2020;2020-6
ITA;1100;35314;7038;240506;6;2020;2020-6
JEY;2;31;11;319;6;2020;2020-6
LIE;0;1;0;82;6;2020;2020-6
LTU;1;78;140;638;6;2020;2020-6
LUX;2;92;182;3136;6;2020;2020-6
LVA;5;30;50;1116;6;2020;2020-6
MCO;0;1;3;70;6;2020;2020-6
MDA;235;530;7999;16250;6;2020;2020-6
MKD;153;286;3866;6092;6;2020;2020-6
MLT;0;9;52;667;6;2020;2020-6
MNE;2;11;157;481;6;2020;2020-6
NLD;131;6182;3718;49914;6;2020;2020-6
NOR;13;249;419;8857;6;2020;2020-6
POL;375;1438;10123;33907;6;2020;2020-6
