 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate;inmigracion
San Marino;17;41;309;538;4;2020;2020-4;;
Serbia;143;156;7301;8042;4;2020;2020-4;1.8;
Slovakia;20;21;1015;1363;4;2020;2020-4;2.0;
Slovenia;77;90;646;1403;4;2020;2020-4;-0.3;
Spain;16569;25146;110839;219777;4;2020;2020-4;-0.3;
Sweden;2318;2557;14924;18867;4;2020;2020-4;0.7;
Switzerland;1079;1336;14704;28978;4;2020;2020-4;-0.8;
Turkey;2674;2805;100859;110130;4;2020;2020-4;12.3;
Ukraine;200;209;8199;8617;4;2020;2020-4;;
United Kingdom;23079;26258;127575;156946;4;2020;2020-4;0.8;
Albania;5;33;411;1137;5;2020;2020-5;;
Andorra;11;51;24;764;5;2020;2020-5;;
Armenia;110;139;7684;9492;5;2020;2020-5;;
Austria;93;695;1371;16653;5;2020;2020-5;1.4;
Azerbaijan;42;63;3849;5494;5;2020;2020-5;;
Belarus;163;235;32093;42556;5;2020;2020-5;;
Belgium;1933;9323;10871;60890;5;2020;2020-5;0.4;
Bosnia And Herzegovina;94;153;994;2510;5;2020;2020-5;;
Bulgaria;84;140;1213;2513;5;2020;2020-5;1.2;
Croatia;48;103;216;2239;5;2020;2020-5;0.0;
Cyprus;5;26;123;951;5;2020;2020-5;-1.1;
Czechia;94;318;1886;9303;5;2020;2020-5;3.3;
Denmark;51;183;2836;11970;5;2020;2020-5;0.3;
Estonia;14;135;222;7112;5;2020;2020-5;-0.6;
Faroe Islands;0;0;0;187;5;2020;2020-5;;
Finland;124;313;1905;6640;5;2020;2020-5;0.4;
France;4325;18518;22262;146680;5;2020;2020-5;0.5;
Georgia;6;12;297;783;5;2020;2020-5;;
Germany;2146;8779;25250;182034;5;2020;2020-5;0.4;
Gibraltar;0;0;28;169;5;2020;2020-5;;
Greece;45;179;401;2961;5;2020;2020-5;-1.3;
Guernsey;0;13;5;252;5;2020;2020-5;;
Holy See;0;0;3;12;5;2020;2020-5;;
Hungary;244;528;1311;3887;5;2020;2020-5;3.4;
Iceland;0;10;14;1820;5;2020;2020-5;1.2;
Ireland;439;1422;5842;24965;5;2020;2020-5;-0.5;
Isle Of Man;6;24;29;336;5;2020;2020-5;;
